îNåéì˙,ç≈çÇãCâ∑(Åé)
2016/6/1,25.7
2016/6/2,24.4
2016/6/3,27.9
2016/6/4,25.5
2016/6/5,23.8
2016/6/6,28.4
2016/6/7,23.4
2016/6/8,28.9
2016/6/9,27.4
2016/6/10,31.8
2016/6/11,31.1
2016/6/12,28
2016/6/13,25.2
2016/6/14,29.6
2016/6/15,31.2
2016/6/16,24.4
2016/6/17,28
2016/6/18,32.7
2016/6/19,23.2
2016/6/20,30.5
2016/6/21,30.7
2016/6/22,28.4
2016/6/23,29.1
2016/6/24,26.1
2016/6/25,27.4
2016/6/26,28.8
2016/6/27,30.5
2016/6/28,24.2
2016/6/29,26.8
2016/6/30,28.4
2017/6/1,29.1
2017/6/2,24.9
2017/6/3,24.8
2017/6/4,25.4
2017/6/5,27.6
2017/6/6,27.7
2017/6/7,20.9
2017/6/8,24.7
2017/6/9,29.7
2017/6/10,29.9
2017/6/11,25.6
2017/6/12,24.7
2017/6/13,25.7
2017/6/14,28
2017/6/15,30.2
2017/6/16,28.2
2017/6/17,29.6
2017/6/18,27.5
2017/6/19,32.5
2017/6/20,31.7
2017/6/21,24.3
2017/6/22,27.5
2017/6/23,32.8
2017/6/24,30.1
2017/6/25,24.5
2017/6/26,28.1
2017/6/27,29.6
2017/6/28,29.1
2017/6/29,28.7
2017/6/30,30.2
2018/6/1,25.5
2018/6/2,29.4
2018/6/3,30.1
2018/6/4,30.6
2018/6/5,27.4
2018/6/6,20.9
2018/6/7,28.9
2018/6/8,25.1
2018/6/9,28.4
2018/6/10,24.4
2018/6/11,27.7
2018/6/12,25.6
2018/6/13,24.7
2018/6/14,26.7
2018/6/15,22.5
2018/6/16,26.3
2018/6/17,28.4
2018/6/18,25.7
2018/6/19,26
2018/6/20,23.5
2018/6/21,27.5
2018/6/22,30.7
2018/6/23,23.5
2018/6/24,29.5
2018/6/25,34
2018/6/26,33.1
2018/6/27,33.9
2018/6/28,32.6
2018/6/29,32.5
2018/6/30,35
2019/6/1,28
2019/6/2,24.1
2019/6/3,30.8
2019/6/4,31.4
2019/6/5,31.1
2019/6/6,32.1
2019/6/7,22.7
2019/6/8,24.5
2019/6/9,26.1
2019/6/10,24.5
2019/6/11,27
2019/6/12,27.3
2019/6/13,30.6
2019/6/14,25.5
2019/6/15,24.2
2019/6/16,24.9
2019/6/17,26.5
2019/6/18,27.7
2019/6/19,30
2019/6/20,31.5
2019/6/21,31.7
2019/6/22,30.8
2019/6/23,26.4
2019/6/24,29.2
2019/6/25,31.6
2019/6/26,30.5
2019/6/27,27
2019/6/28,30.9
2019/6/29,31.7
2019/6/30,27.6
2020/6/1,28
2020/6/2,30.2
2020/6/3,28.6
2020/6/4,33.3
2020/6/5,31.9
2020/6/6,28.3
2020/6/7,30.2
2020/6/8,32.6
2020/6/9,31.9
2020/6/10,29.6
2020/6/11,26.4
2020/6/12,28.7
2020/6/13,26.2
2020/6/14,31
2020/6/15,31.6
2020/6/16,30.9
2020/6/17,31
2020/6/18,23
2020/6/19,21.6
2020/6/20,26.3
2020/6/21,27.8
2020/6/22,27.9
2020/6/23,32.5
2020/6/24,32.1
2020/6/25,27.6
2020/6/26,33.3
2020/6/27,30.6
2020/6/28,28.2
2020/6/29,30.6
2020/6/30,25.7
2021/6/1,30.4
2021/6/2,27.3
2021/6/3,27.8
2021/6/4,22
2021/6/5,24.3
2021/6/6,29
2021/6/7,31.7
2021/6/8,31.7
2021/6/9,31.6
2021/6/10,33
2021/6/11,30
2021/6/12,30.1
2021/6/13,25.5
2021/6/14,29.9
2021/6/15,30.9
2021/6/16,23.6
2021/6/17,30.4
2021/6/18,25.4
2021/6/19,22.2
2021/6/20,28.1
2021/6/21,32.3
2021/6/22,27.3
2021/6/23,30.2
2021/6/24,30.3
2021/6/25,30.6
2021/6/26,26.8
2021/6/27,24.9
2021/6/28,29.9
2021/6/29,30.2
2021/6/30,30.5
